,Parameters,Pruning Fraction,Retraining epochs,Memory [MB],Quantization Type,Latency [s],Max Power [W],Energy/image [J],num_images,Accuracy
72,model_frac_0.790_static_quantized_uint8,0.790,100,5.453125,static,0.004,4.916,0.030394636889243144,10000,0.769
75,model_frac_0.80_qat_quantized_uint8,0.80,100,8.2265625,qat,0.036,4.95,0.16699237469406097,10000,0.642
76,model_frac_0.80_static_quantized_uint8,0.80,100,10.6640625,static,0.006,4.825,0.03742216355457314,10000,0.641
73,model_frac_0.800_static_quantized_int8,0.800,100,7.98828125,static,0.004,4.863,0.030293929188728464,10000,0.766
74,model_frac_0.800_static_quantized_uint8,0.800,100,6.83203125,static,0.004,4.882,0.030420096509981134,10000,0.77
77,model_frac_0.810_static_quantized_int8,0.810,100,8.046875,static,0.004,4.87,0.030369024000835416,10000,0.755
78,model_frac_0.810_static_quantized_uint8,0.810,100,8.92578125,static,0.004,4.87,0.030334125620222006,10000,0.758
80,model_frac_0.820_static_quantized_uint8,0.820,100,16.65234375,static,0.004,5.088,0.030459844624614794,10000,0.761
79,model_frac_0.820_static_quantized_int8,0.820,100,13.875,static,0.004,4.859,0.030713480739736617,10000,0.76
81,model_frac_0.830_static_quantized_int8,0.830,100,18.62890625,static,0.004,4.836,0.029455313833427386,10000,0.758
82,model_frac_0.830_static_quantized_uint8,0.830,100,12.53125,static,0.004,4.859,0.029668797350621265,10000,0.76
83,model_frac_0.840_static_quantized_int8,0.840,100,2.78125,static,0.004,4.836,0.027965243315362955,10000,0.756
84,model_frac_0.840_static_quantized_uint8,0.840,100,9.96484375,static,0.004,4.888999999999999,0.028868976297807762,10000,0.757
85,model_frac_0.850_static_quantized_int8,0.850,100,8.734375,static,0.004,4.859,0.03167870951724047,10000,0.749
86,model_frac_0.850_static_quantized_uint8,0.850,100,7.34765625,static,0.004,4.87,0.031616706000518705,10000,0.749
87,model_frac_0.860_static_quantized_int8,0.860,100,8.47265625,static,0.004,4.874,0.03094277452883722,10000,0.749
88,model_frac_0.860_static_quantized_uint8,0.860,100,9.02734375,static,0.004,5.046,0.03151493646564479,10000,0.75
89,model_frac_0.870_static_quantized_int8,0.870,100,2.796875,static,0.004,4.843999999999999,0.029364285117196937,10000,0.743
90,model_frac_0.870_static_quantized_uint8,0.870,100,5.69921875,static,0.004,4.843999999999999,0.029671025493550326,10000,0.75
91,model_frac_0.880_static_quantized_int8,0.880,100,2.26953125,static,0.004,4.867,0.02976791707832817,10000,0.738
92,model_frac_0.880_static_quantized_uint8,0.880,100,4.015625,static,0.004,5.023,0.03049958647398939,10000,0.742
